URL,性能分数,LCP,LCP评级,TTFB,TTFB评级,FCP,FCP评级,TBT,TBT评级,CLS,CLS评级,INP,INP评级,LCP元素/来源,最大阻塞资源,INP交互元素,错误信息
https://www.ainvest.com/news/novo-nordisk-2026-crossroads-regulatory-pressure-pipeline-uncertainty-2512/,43,3.86s,NI,249ms,GOOD,2.67s,NI,4.37s,POOR,0.08468447969033477,GOOD,,N/A,"","","",
https://www.ainvest.com/news/bill-hemmer-exit-reshapes-fox-news-daytime-lineup-dana-perino-collaboration-2508/,29,17.26s,POOR,30ms,GOOD,4.88s,POOR,4.72s,POOR,0.011545784172559472,GOOD,,N/A,"","","",
https://www.ainvest.com/news/chris-camillo-42-million-trading-success-power-social-arbitrage-2502/,32,13.59s,POOR,134ms,GOOD,2.44s,NI,5.98s,POOR,0.025505572268575454,GOOD,,N/A,"","","",
https://www.ainvest.com/news/aspc-soars-129-5-intraday-surge-fueling-volatility-2512/,32,31.43s,POOR,395ms,GOOD,2.49s,NI,4.57s,POOR,0.02313368166854481,GOOD,,N/A,"","","",
https://www.ainvest.com/news/polestar-1-30-reverse-split-lifeline-temporary-fix-shareholder-2512/,32,26.66s,POOR,44ms,GOOD,2.44s,NI,4.67s,POOR,0.01997465564231474,GOOD,,N/A,"","","",
https://www.ainvest.com/news/video-ripple-xrp-donald-trump-dropped-bombshell-means-xrp-crypto-2511/,18,16.51s,POOR,290ms,GOOD,2.32s,NI,5.15s,POOR,0.293049819558584,POOR,,N/A,"","","",
https://www.ainvest.com/news/overvalued-stocks-sell-2026-market-correction-2512/,32,44.61s,POOR,139ms,GOOD,2.41s,NI,4.56s,POOR,0.06161733265618275,GOOD,,N/A,"","","",
https://www.ainvest.com/news/mck-plummets-2-6-institutional-shifts-bearish-technicals-2512/,33,14.36s,POOR,39ms,GOOD,2.27s,NI,5.28s,POOR,0.023091568345118944,GOOD,,N/A,"","","",
https://www.ainvest.com/news/abc-boss-hugh-marks-marries-partner-alexi-baker-intimate-ceremony-2512/,38,5.28s,POOR,25ms,GOOD,2.43s,NI,4.04s,POOR,0.023091568345118944,GOOD,,N/A,"","","",
https://www.ainvest.com/news/american-bitcoin-abtc-buy-60-selloff-assessing-strategy-lock-risks-2512/,46,3.24s,NI,45ms,GOOD,2.44s,NI,4.45s,POOR,0.10810093075546728,NI,,N/A,"","","",
